"uuid","xml src","md src","marketing loc","docs loc"
"46d02e39-0c19-4da8-bdd8-48acb708831b","target-standard-premium-master/src/target/r_ab_goals_and_settings.xml","help/c-activities/t-test-ab/t-test-create-ab/ab-goals-and-settings.md","https://marketing.adobe.com/resources/help/en_US/target/target/r_ab_goals_and_settings.html","https://docs.adobe.com/content/help/en/target/using/activities/abtest/create/ab-goals-and-settings.html"
"70ccfbe9-c240-4380-9f43-522af51c1d5f","target-standard-premium-master/src/target/c_intro.xml","help/c-intro/intro.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_intro.html","https://docs.adobe.com/content/help/en/target/using/introduction/intro.html"
"d30cda0e-016e-4391-95b7-ff3b55e06bf0","target-standard-premium-master/src/target/c_geo.xml","help/c-target/c-audiences/c-target-rules/geo.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_geo.html","https://docs.adobe.com/content/help/en/target/using/audiences/create-audiences/categories-audiences/geo.html"
"114cd625-2716-4c4c-983b-a7f677717b07","target-standard-premium-master/src/target/c_priority.xml","help/c-activities/priority.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_priority.html","https://docs.adobe.com/content/help/en/target/using/activities/priority.html"
"aec09341-9b54-400c-a438-60058c52ac2a","target-standard-premium-master/src/target/c_combining-multiple-audiences.xml","help/c-target/combining-multiple-audiences.md","https://marketing.adobe.com/resources/help/en_US/target/target/c_combining-multiple-audiences.html","https://docs.adobe.com/content/help/en/target/using/audiences/combining-multiple-audiences.html"
"27374cb5-a700-4c50-a36e-e575f35b74e6","target-standard-premium-master/src/ov2/implementing-target-using-dynamic-tag-management.xml","help/c-implementing-target/c-implementing-target-for-client-side-web/how-to-deployatjs/implementing-target-using-dynamic-tag-management.md","","https://docs.adobe.com/content/help/en/target/using/implement-target/client-side/deploy-at-js/implementing-target-using-dynamic-tag-management.html"
"c8a254c9-afc9-4a55-be01-788c11bef7cc","target-standard-premium-master/src/ov2/c_target-implement.xml","help/c-implementing-target/c-considerations-before-you-implement-target/target-implement.md","","https://docs.adobe.com/content/help/en/target/using/implement-target/before-implement/target-implement.html"
"ca98bfce-f571-4ac2-a94b-1127ecd7e3e6","target-standard-premium-master/src/target/t_ap_preview_experiences.xml","help/c-activities/t-automated-personalization/ap-preview-experiences.md","https://marketing.adobe.com/resources/help/en_US/target/target/t_ap_preview_experiences.html","https://docs.adobe.com/content/help/en/target/using/activities/automated-personalization/ap-preview-experiences.html"
"af3105ab-87d9-4dbf-a380-b72788928958","target-standard-premium-master/src/ov2/c_mboxjs-frequently-asked-questions.xml","help/c-implementing-target/c-implementing-target-for-client-side-web/t-mbox-download/mboxjs-frequently-asked-questions.md","","https://docs.adobe.com/content/help/en/target/using/implement-target/client-side/mbox-implement/mboxjs-frequently-asked-questions.html"
"de9f9392-8a15-4422-81b3-263ace1cb330","target-standard-premium-master/src/target/r_troubleshoot_composer.xml","help/c-experiences/c-visual-experience-composer/r-troubleshoot-composer/troubleshoot-composer.md","https://marketing.adobe.com/resources/help/en_US/target/target/r_troubleshoot_composer.html","https://docs.adobe.com/content/help/en/target/using/experiences/visual-experience-composer-vec/troubleshoot-composer/troubleshoot-composer.html"
"f6c3e64d-de1e-416c-a56f-2122a58b613e","target-standard-premium-master/src/target/r_release_notes.xml","help/r-release-notes/release-notes.md","https://marketing.adobe.com/resources/help/en_US/target/target/r_release_notes.html","https://docs.adobe.com/content/help/en/target/using/release-notes/release-notes.html"
